# hist bins, signal, signal 2x2 cl, signal 3x3 cl
-9.600000000000000000e+01,2.140139000000000000e+06,2.494710000000000000e+05,7.405100000000000000e+04
-9.500000000000000000e+01,2.281505000000000000e+06,2.522680000000000000e+05,7.413200000000000000e+04
-9.400000000000000000e+01,2.431735000000000000e+06,2.542160000000000000e+05,7.394100000000000000e+04
-9.300000000000000000e+01,2.588195000000000000e+06,2.589870000000000000e+05,7.430600000000000000e+04
-9.200000000000000000e+01,2.748654000000000000e+06,2.597170000000000000e+05,7.483200000000000000e+04
-9.100000000000000000e+01,2.918129000000000000e+06,2.626600000000000000e+05,7.482400000000000000e+04
-9.000000000000000000e+01,3.090005000000000000e+06,2.655920000000000000e+05,7.524800000000000000e+04
-8.900000000000000000e+01,3.272726000000000000e+06,2.673430000000000000e+05,7.559700000000000000e+04
-8.800000000000000000e+01,3.459909000000000000e+06,2.705550000000000000e+05,7.603100000000000000e+04
-8.700000000000000000e+01,3.646740000000000000e+06,2.729050000000000000e+05,7.580100000000000000e+04
-8.600000000000000000e+01,3.841973000000000000e+06,2.762050000000000000e+05,7.667000000000000000e+04
-8.500000000000000000e+01,4.040518000000000000e+06,2.791610000000000000e+05,7.603800000000000000e+04
-8.400000000000000000e+01,4.246655000000000000e+06,2.814580000000000000e+05,7.661900000000000000e+04
-8.300000000000000000e+01,4.459193000000000000e+06,2.835990000000000000e+05,7.698300000000000000e+04
-8.200000000000000000e+01,4.671612000000000000e+06,2.876180000000000000e+05,7.748400000000000000e+04
-8.100000000000000000e+01,4.892745000000000000e+06,2.905240000000000000e+05,7.703200000000000000e+04
-8.000000000000000000e+01,5.114436000000000000e+06,2.925050000000000000e+05,7.773600000000000000e+04
-7.900000000000000000e+01,5.341837000000000000e+06,2.956060000000000000e+05,7.755900000000000000e+04
-7.800000000000000000e+01,5.577457000000000000e+06,2.983710000000000000e+05,7.845200000000000000e+04
-7.700000000000000000e+01,5.808869000000000000e+06,3.008480000000000000e+05,7.802100000000000000e+04
-7.600000000000000000e+01,6.043786000000000000e+06,3.034800000000000000e+05,7.860100000000000000e+04
-7.500000000000000000e+01,6.288214000000000000e+06,3.065080000000000000e+05,7.880000000000000000e+04
-7.400000000000000000e+01,6.530351000000000000e+06,3.098570000000000000e+05,7.891100000000000000e+04
-7.300000000000000000e+01,6.769743000000000000e+06,3.133080000000000000e+05,7.904600000000000000e+04
-7.200000000000000000e+01,7.015990000000000000e+06,3.156140000000000000e+05,7.903700000000000000e+04
-7.100000000000000000e+01,7.269634000000000000e+06,3.181760000000000000e+05,7.959400000000000000e+04
-7.000000000000000000e+01,7.518813000000000000e+06,3.214390000000000000e+05,7.958600000000000000e+04
-6.900000000000000000e+01,7.768521000000000000e+06,3.231140000000000000e+05,7.983700000000000000e+04
-6.800000000000000000e+01,8.014724000000000000e+06,3.254300000000000000e+05,7.997400000000000000e+04
-6.700000000000000000e+01,8.274464000000000000e+06,3.299590000000000000e+05,8.069300000000000000e+04
-6.600000000000000000e+01,8.531202000000000000e+06,3.326690000000000000e+05,8.188400000000000000e+04
-6.500000000000000000e+01,8.778911000000000000e+06,3.361760000000000000e+05,8.076400000000000000e+04
-6.400000000000000000e+01,9.036037000000000000e+06,3.380310000000000000e+05,8.113800000000000000e+04
-6.300000000000000000e+01,9.283046000000000000e+06,3.406610000000000000e+05,8.149900000000000000e+04
-6.200000000000000000e+01,9.541574000000000000e+06,3.443400000000000000e+05,8.119100000000000000e+04
-6.100000000000000000e+01,9.787285000000000000e+06,3.468050000000000000e+05,8.228000000000000000e+04
-6.000000000000000000e+01,1.004705100000000000e+07,3.504350000000000000e+05,8.198000000000000000e+04
-5.900000000000000000e+01,1.029605100000000000e+07,3.522590000000000000e+05,8.241800000000000000e+04
-5.800000000000000000e+01,1.055180300000000000e+07,3.565190000000000000e+05,8.268600000000000000e+04
-5.700000000000000000e+01,1.080561100000000000e+07,3.600100000000000000e+05,8.260100000000000000e+04
-5.600000000000000000e+01,1.105088100000000000e+07,3.620180000000000000e+05,8.331200000000000000e+04
-5.500000000000000000e+01,1.130203200000000000e+07,3.643900000000000000e+05,8.372000000000000000e+04
-5.400000000000000000e+01,1.154517400000000000e+07,3.688950000000000000e+05,8.363700000000000000e+04
-5.300000000000000000e+01,1.179062100000000000e+07,3.713250000000000000e+05,8.420200000000000000e+04
-5.200000000000000000e+01,1.202757600000000000e+07,3.741030000000000000e+05,8.375700000000000000e+04
-5.100000000000000000e+01,1.227685500000000000e+07,3.773990000000000000e+05,8.397300000000000000e+04
-5.000000000000000000e+01,1.252035000000000000e+07,3.790920000000000000e+05,8.442300000000000000e+04
-4.900000000000000000e+01,1.275746600000000000e+07,3.810890000000000000e+05,8.496600000000000000e+04
-4.800000000000000000e+01,1.299541500000000000e+07,3.854440000000000000e+05,8.480900000000000000e+04
-4.700000000000000000e+01,1.323142900000000000e+07,3.886450000000000000e+05,8.548500000000000000e+04
-4.600000000000000000e+01,1.346378100000000000e+07,3.926190000000000000e+05,8.596000000000000000e+04
-4.500000000000000000e+01,1.369691600000000000e+07,3.943730000000000000e+05,8.534200000000000000e+04
-4.400000000000000000e+01,1.393241700000000000e+07,3.980440000000000000e+05,8.626900000000000000e+04
-4.300000000000000000e+01,1.415218300000000000e+07,4.001690000000000000e+05,8.569100000000000000e+04
-4.200000000000000000e+01,1.437310400000000000e+07,4.020480000000000000e+05,8.578900000000000000e+04
-4.100000000000000000e+01,1.459660100000000000e+07,4.068280000000000000e+05,8.659500000000000000e+04
-4.000000000000000000e+01,1.482115500000000000e+07,4.083150000000000000e+05,8.658500000000000000e+04
-3.900000000000000000e+01,1.504989200000000000e+07,4.120560000000000000e+05,8.702900000000000000e+04
-3.800000000000000000e+01,1.526085500000000000e+07,4.165680000000000000e+05,8.674400000000000000e+04
-3.700000000000000000e+01,1.546947800000000000e+07,4.184470000000000000e+05,8.774300000000000000e+04
-3.600000000000000000e+01,1.568817400000000000e+07,4.224040000000000000e+05,8.740500000000000000e+04
-3.500000000000000000e+01,1.588778000000000000e+07,4.253510000000000000e+05,8.814700000000000000e+04
-3.400000000000000000e+01,1.609583600000000000e+07,4.270550000000000000e+05,8.773500000000000000e+04
-3.300000000000000000e+01,1.629028500000000000e+07,4.308840000000000000e+05,8.822600000000000000e+04
-3.200000000000000000e+01,1.648780900000000000e+07,4.347220000000000000e+05,8.816300000000000000e+04
-3.100000000000000000e+01,1.665905400000000000e+07,4.361310000000000000e+05,8.868700000000000000e+04
-3.000000000000000000e+01,1.685147400000000000e+07,4.394030000000000000e+05,8.913400000000000000e+04
-2.900000000000000000e+01,1.702769900000000000e+07,4.430580000000000000e+05,8.923400000000000000e+04
-2.800000000000000000e+01,1.719997000000000000e+07,4.456940000000000000e+05,8.965400000000000000e+04
