# number of Gd/Fe layers, transmission, polarisation
8.500000000000000000e+01,8.014958613045372604e-02,-8.550788485469422717e-01
8.600000000000000000e+01,7.826164999602787387e-02,-8.590592718265496197e-01
8.700000000000000000e+01,7.642268855538165984e-02,-8.629384732594701513e-01
8.800000000000000000e+01,7.463130057449253452e-02,-8.667186420503900646e-01
8.900000000000000000e+01,7.288589206477404103e-02,-8.704016840824190249e-01
9.000000000000000000e+01,7.118522121970524696e-02,-8.739898878408576266e-01
9.100000000000000000e+01,6.952796483568321473e-02,-8.774852861304188734e-01
9.200000000000000000e+01,6.791272442772228191e-02,-8.808897859934390340e-01
9.300000000000000000e+01,6.633840949134318932e-02,-8.842056031852778553e-01
9.400000000000000000e+01,6.480377401194123421e-02,-8.874346285828095260e-01
9.500000000000000000e+01,6.330760653880593281e-02,-8.905787687033865918e-01
9.600000000000000000e+01,6.184892484947222824e-02,-8.936401278912524671e-01
9.700000000000000000e+01,6.042656720931352532e-02,-8.966204780834703403e-01
9.800000000000000000e+01,5.903949121011643764e-02,-8.995217119615379620e-01
9.900000000000000000e+01,5.768679085421227898e-02,-9.023457971994911508e-01
1.000000000000000000e+02,5.636739825646572277e-02,-9.050944117340985473e-01
1.010000000000000000e+02,5.508041546925819543e-02,-9.077694130384563742e-01
1.020000000000000000e+02,5.382499220270315493e-02,-9.103726211155297454e-01
1.030000000000000000e+02,5.260016219278955407e-02,-9.129056414696716804e-01
1.040000000000000000e+02,5.140514441415504343e-02,-9.153702715670907208e-01
1.050000000000000000e+02,5.023913411803070106e-02,-9.177681854465565836e-01
1.060000000000000000e+02,4.910126992404621055e-02,-9.201009309977188355e-01
1.070000000000000000e+02,4.799086076703418940e-02,-9.223702220372416161e-01
1.080000000000000000e+02,4.690714523495338739e-02,-9.245775978374258797e-01
1.090000000000000000e+02,4.584936448608620957e-02,-9.267245554892654669e-01
1.100000000000000000e+02,4.481689386639871320e-02,-9.288127063248171611e-01
1.110000000000000000e+02,4.380901811211959651e-02,-9.308434715483862032e-01
1.120000000000000000e+02,4.282507325868675774e-02,-9.328182968824785259e-01
1.130000000000000000e+02,4.186448272940442028e-02,-9.347386793614952394e-01
1.140000000000000000e+02,4.092658232074628671e-02,-9.366059404086694018e-01
1.150000000000000000e+02,4.001079125089389288e-02,-9.384214683539245927e-01
1.160000000000000000e+02,3.911656858417986160e-02,-9.401866417979070079e-01
1.170000000000000000e+02,3.824330575745282790e-02,-9.419026990766037333e-01
1.180000000000000000e+02,3.739049125465577356e-02,-9.435709622263505070e-01
1.190000000000000000e+02,3.655761292753535036e-02,-9.451926942490901373e-01
1.200000000000000000e+02,3.574412042426371866e-02,-9.467690634184529053e-01
1.210000000000000000e+02,3.494955724931125829e-02,-9.483013162888853653e-01
1.220000000000000000e+02,3.417343772227940391e-02,-9.497906084106901847e-01
1.230000000000000000e+02,3.341526942897143221e-02,-9.512380464715578521e-01
1.240000000000000000e+02,3.267463794702975960e-02,-9.526447941840273659e-01
1.250000000000000000e+02,3.195108482314030357e-02,-9.540119109838963718e-01
1.260000000000000000e+02,3.124417239841321275e-02,-9.553404460734961079e-01
1.270000000000000000e+02,3.055351780784410290e-02,-9.566314761498648789e-01
1.280000000000000000e+02,2.987869212331633120e-02,-9.578859769392824575e-01
1.290000000000000000e+02,2.921930687732474108e-02,-9.591049408117280350e-01
1.300000000000000000e+02,2.857500323038445617e-02,-9.602893569852809508e-01
1.310000000000000000e+02,2.794538425613765642e-02,-9.614401291828861273e-01
1.320000000000000000e+02,2.733010361540144650e-02,-9.625581914732650457e-01
1.330000000000000000e+02,2.672882194785414917e-02,-9.636444486249320374e-01
1.340000000000000000e+02,2.614117597820717065e-02,-9.646997421634840864e-01
1.350000000000000000e+02,2.556685393209256682e-02,-9.657249456485937911e-01
1.360000000000000000e+02,2.500553393473536543e-02,-9.667208851682803639e-01
1.370000000000000000e+02,2.445688661032951322e-02,-9.676883473814092973e-01
1.380000000000000000e+02,2.392062759798599392e-02,-9.686281435671767470e-01
1.390000000000000000e+02,2.339645236436034906e-02,-9.695410286048486981e-01
1.400000000000000000e+02,2.288406412775877141e-02,-9.704277391303871569e-01
1.410000000000000000e+02,2.238319988779967351e-02,-9.712890236135086619e-01
1.420000000000000000e+02,2.189357335668468824e-02,-9.721255738202834173e-01
1.430000000000000000e+02,2.141491767764155951e-02,-9.729380791287329799e-01
1.440000000000000000e+02,2.094698664665645485e-02,-9.737272262945290136e-01
1.450000000000000000e+02,2.048951342479140084e-02,-9.744936517601696657e-01
1.460000000000000000e+02,2.004225746358816174e-02,-9.752379989786512660e-01
1.470000000000000000e+02,1.960498637173117842e-02,-9.759608957039652699e-01
1.480000000000000000e+02,1.917745367276560767e-02,-9.766629298767186551e-01
1.490000000000000000e+02,1.875944107859595089e-02,-9.773446996357357808e-01
1.500000000000000000e+02,1.835072844854265806e-02,-9.780067777607234225e-01
1.510000000000000000e+02,1.795108992092523184e-02,-9.786497091931866121e-01
1.520000000000000000e+02,1.756032549077179983e-02,-9.792740472783459937e-01
1.530000000000000000e+02,1.717822679801599833e-02,-9.798803146911937434e-01
1.540000000000000000e+02,1.680458804061533279e-02,-9.804690174974389771e-01
