6.000140677980220261e+01 2.889624424796169922e+12
6.002141087646379702e+01 2.783045616237689941e+12
7.002240310038889959e+01 4.311090199927100098e+12
7.002551258373560472e+01 3.716614064548200195e+12
8.002184555395319876e+01 6.765640654610639648e+12
8.002377804203919709e+01 5.371522236119809570e+12
9.000968263486670651e+01 5.104796565259530273e+12
9.004860950166450095e+01 3.794819643343729980e+12
1.000033974774560050e+02 6.025828026300450195e+12
1.000315444796890034e+02 3.292923322481100098e+12
1.100595247959229965e+02 2.392427971318379883e+12
1.200499597428269993e+02 1.832401026744229980e+12
1.300119784188430003e+02 2.091685235999129883e+12
1.400501294021019874e+02 1.369165121564429932e+12
1.400986591304219928e+02 1.647684131514639893e+12
1.500666619507119890e+02 1.512634291419800049e+12
1.501217192376460048e+02 1.404195710327659912e+12
1.700755913198790097e+02 1.487952331282780029e+12
1.701452512492319897e+02 1.104841325192600098e+12
2.000327018475639989e+02 1.384505256697290039e+12
2.000605504388169891e+02 1.373468445750419922e+12
2.001618683690670082e+02 6.278693228167399902e+11
2.500668846799950131e+02 1.082554477685359985e+12
2.700068350657949736e+02 7.357944189322320557e+11
3.004102260978210097e+02 3.972024785754920044e+11
3.506646556379520234e+02 4.393237187177260132e+11
4.000615771404059728e+02 4.081800154391740112e+11
4.501803548488809952e+02 3.262025234258400269e+11
5.000399458734980271e+02 2.596781170928590088e+11
5.953093268108219718e+02 2.253835592373640137e+11
6.006868366316509764e+02 1.578355464826510010e+11
7.011501025138379646e+02 8.439271356287590027e+10
8.021118559586169567e+02 7.136132410364900208e+10
9.020249913364229997e+02 4.935813380464569855e+10
1.004388887709400024e+03 3.608235693615750122e+10
1.101623980838729949e+03 3.030472464965110016e+10
1.204982493068399890e+03 2.729158948417029953e+10
1.303079322241740101e+03 2.987565702777830124e+10
1.407226288510129962e+03 3.425323033949319839e+10
1.503349131084110013e+03 3.812703057782460022e+10
