#comment:								
#pole shoe:	16.00							
#amp level:	0							
#avg samples:	15							
#avg loops:	5							
#left detec:	out of plane							
#I [A]	H [mT]	hallErr	avgDiff	errDiff	avgSum	errSum	Norm	errNorm
-1.30000	-70.83521	0.66815	0.00001	0.00007	-0.00584	0.00005	0.15884	0.19713
-1.20000	-65.42958	0.75995	0.00012	0.00008	-0.00586	0.00006	0.09537	0.24030
-1.10000	-60.84105	0.58665	0.00004	0.00012	-0.00585	0.00004	0.13854	0.10711
-1.00000	-57.01716	0.73688	0.00012	0.00005	-0.00593	0.00001	-0.18631	0.06473
-0.90000	-51.28657	0.89024	0.00014	0.00016	-0.00592	0.00002	-0.13084	0.09731
-0.80000	-47.29584	0.32118	0.00009	0.00010	-0.00586	0.00003	0.08870	0.07063
-0.70000	-42.43049	0.87678	0.00010	0.00011	-0.00590	0.00005	-0.05217	0.21524
-0.60000	-38.31012	0.73590	0.00006	0.00008	-0.00579	0.00002	0.34004	0.10266
-0.50000	-33.29761	0.45224	0.00015	0.00003	-0.00587	0.00003	0.04009	0.07926
-0.40000	-28.91612	0.84973	0.00014	0.00016	-0.00586	0.00007	0.07883	0.20485
-0.30000	-24.07854	0.45436	0.00015	0.00009	-0.00582	0.00006	0.23476	0.23124
-0.20000	-19.49285	0.88739	0.00000	0.00012	-0.00588	0.00005	0.02807	0.22904
-0.10000	-15.25335	0.76374	0.00001	0.00013	-0.00595	0.00004	-0.23114	0.19800
0.00000	-9.49452	0.86968	0.00020	0.00014	-0.00586	0.00004	0.06599	0.17918
0.10000	-5.09463	0.65622	0.00006	0.00014	-0.00582	0.00005	0.21078	0.19551
0.20000	-1.23611	0.71124	0.00015	0.00004	-0.00596	0.00004	-0.27196	0.15007
0.30000	3.30880	0.88972	0.00010	0.00015	-0.00583	0.00004	0.17613	0.18144
0.40000	8.24848	0.52151	-0.00002	0.00009	-0.00581	0.00004	0.26049	0.13563
0.50000	12.75206	0.79136	0.00005	0.00014	-0.00587	0.00005	0.05099	0.22033
0.60000	17.72725	0.67753	0.00016	0.00014	-0.00582	0.00006	0.20464	0.23564
0.70000	21.91103	0.48357	0.00001	0.00016	-0.00592	0.00004	-0.11960	0.19553
0.80000	27.45239	0.81221	0.00016	0.00010	-0.00589	0.00004	-0.03332	0.15369
0.90000	31.50710	0.63203	0.00020	0.00014	-0.00594	0.00005	-0.21848	0.17417
1.00000	36.71549	0.51634	0.00020	0.00010	-0.00584	0.00004	0.13659	0.12852
1.10000	40.79029	1.02428	0.00013	0.00006	-0.00587	0.00004	0.04151	0.20718
1.20000	46.08687	0.68722	0.00020	0.00007	-0.00578	0.00006	0.34849	0.25780
1.30000	50.29793	0.93282	0.00003	0.00008	-0.00593	0.00004	-0.16465	0.16105
