#comment:								
#pole shoe :	16.00							
#amp level:	0							
#avg samples:	15							
#avg loops:	5							
#left detec:	out of plane							
#I	B	HallErr	avgDiff	errDiff	avgSum	errSum	avgR	errR
-1.30000	-70.20645	0.65189	-0.03519	0.00076	0.07443	0.00003	-0.23471	0.01856
-1.20000	-65.74301	0.56126	-0.03307	0.00136	0.07444	0.00005	-0.21924	0.02486
-1.10000	-61.59053	0.97288	-0.03076	0.00093	0.07445	0.00004	-0.19882	0.01608
-1.00000	-57.00189	0.55346	-0.02689	0.00091	0.07437	0.00008	-0.19755	0.03643
-0.90000	-52.30566	0.32517	-0.02510	0.00104	0.07448	0.00003	-0.15224	0.01029
-0.80000	-47.63774	0.39046	-0.02353	0.00087	0.07447	0.00006	-0.14423	0.03146
-0.70000	-43.34219	0.75480	-0.01970	0.00079	0.07443	0.00006	-0.13203	0.03051
-0.60000	-37.90466	0.64599	-0.01806	0.00085	0.07446	0.00007	-0.11245	0.02613
-0.50000	-33.99455	0.52729	-0.01642	0.00130	0.07445	0.00006	-0.10263	0.02369
-0.40000	-29.35223	0.38506	-0.01427	0.00065	0.07449	0.00004	-0.07599	0.01789
-0.30000	-24.48618	0.38960	-0.01179	0.00070	0.07442	0.00005	-0.08140	0.02261
-0.20000	-19.99912	0.60298	-0.00852	0.00103	0.07438	0.00007	-0.07293	0.01597
-0.10000	-14.99457	0.42799	-0.00810	0.00085	0.07447	0.00007	-0.04195	0.02926
0.00000	-10.71106	0.41537	-0.00432	0.00144	0.07438	0.00004	-0.04222	0.01589
0.10000	-6.00210	0.60666	-0.00114	0.00148	0.07437	0.00007	-0.02455	0.01266
0.20000	-0.72731	0.65284	-0.00116	0.00087	0.07444	0.00006	-0.00398	0.02909
0.30000	3.03929	0.53257	0.00055	0.00081	0.07451	0.00002	0.02947	0.01652
0.40000	7.75319	0.50037	0.00178	0.00075	0.07447	0.00003	0.02434	0.01538
0.50000	12.42779	0.57123	0.00210	0.00049	0.07453	0.00007	0.04344	0.03155
0.60000	17.57842	0.51811	0.00467	0.00114	0.07452	0.00006	0.05828	0.01712
0.70000	22.33013	0.80650	0.00868	0.00075	0.07441	0.00007	0.05350	0.02923
0.80000	26.61274	0.23185	0.00997	0.00057	0.07444	0.00004	0.07073	0.01613
0.90000	31.76835	0.51621	0.01216	0.00067	0.07450	0.00001	0.10242	0.01516
1.00000	35.58423	0.52452	0.01346	0.00135	0.07450	0.00007	0.11232	0.02745
1.10000	40.05593	0.66142	0.01455	0.00090	0.07445	0.00005	0.10258	0.02975
1.20000	44.63968	0.33895	0.01769	0.00135	0.07449	0.00004	0.13588	0.02596
1.30000	49.74998	0.47265	0.01907	0.00144	0.07452	0.00003	0.15483	0.01588
1.40000	54.76183	0.69157	0.02101	0.00117	0.07446	0.00006	0.14961	0.02739
1.50000	58.88769	0.65513	0.02132	0.00089	0.07444	0.00005	0.14559	0.01714
1.60000	63.73754	0.56960	0.02423	0.00103	0.07450	0.00002	0.18451	0.01609
1.70000	68.64027	0.56933	0.02613	0.00113	0.07439	0.00005	0.16336	0.02216
1.80000	73.38963	0.55936	0.02732	0.00061	0.07447	0.00005	0.19435	0.01600
1.90000	77.70698	0.31713	0.03038	0.00043	0.07436	0.00006	0.18337	0.02780
2.00000	82.45672	0.66597	0.03234	0.00078	0.07442	0.00006	0.21354	0.01833
2.10000	87.09254	0.24904	0.03530	0.00062	0.07446	0.00007	0.24665	0.02630
2.20000	91.71319	0.32301	0.03766	0.00118	0.07432	0.00005	0.21899	0.02420
2.30000	95.89516	0.43997	0.03963	0.00088	0.07444	0.00002	0.26969	0.00861
2.40000	100.71582	0.35561	0.04413	0.00074	0.07445	0.00007	0.30226	0.02242
2.50000	105.83732	0.52873	0.04747	0.00082	0.07439	0.00004	0.30666	0.02078
2.60000	110.52013	0.67276	0.05123	0.00084	0.07442	0.00006	0.34035	0.01837
2.70000	114.60402	0.60324	0.05392	0.00083	0.07443	0.00005	0.36315	0.02703
2.80000	119.69539	0.65957	0.05601	0.00042	0.07439	0.00007	0.36396	0.02370
2.90000	124.16584	0.47785	0.05758	0.00105	0.07443	0.00005	0.38775	0.01420
3.00000	129.00737	0.33529	0.05750	0.00082	0.07443	0.00007	0.38471	0.02753
3.10000	133.37724	0.35222	0.05970	0.00174	0.07434	0.00005	0.37555	0.01090
3.20000	138.19941	0.35705	0.05896	0.00095	0.07432	0.00006	0.36335	0.02481
3.30000	142.87693	0.39084	0.05934	0.00130	0.07446	0.00007	0.40665	0.02174
3.40000	146.38902	0.34114	0.05916	0.00051	0.07445	0.00007	0.40424	0.02527
3.50000	151.69025	0.33279	0.05885	0.00049	0.07446	0.00006	0.40453	0.02575
3.60000	157.21567	0.28375	0.05889	0.00067	0.07446	0.00005	0.40357	0.02149
3.70000	160.16837	0.38816	0.05984	0.00054	0.07446	0.00006	0.40996	0.02296
3.80000	165.70077	0.36555	0.05904	0.00099	0.07449	0.00003	0.41296	0.02135
3.90000	170.35300	0.53912	0.05951	0.00063	0.07448	0.00006	0.41487	0.02039
