#comment:								
#pole shoe :	16.00							
#amp level:	0							
#avg samples:	15							
#avg loops:	5							
#left detec:	out of plane							
#I	B	HallErr	avgDiff	errDiff	avgSum	errSum	avgR	errR
-6.60000	-292.57234	0.13029	-0.06774	0.00045	0.07447	0.00007	-0.44476	0.01686
-6.70000	-296.96008	0.52289	-0.06779	0.00113	0.07443	0.00004	-0.46003	0.01840
-6.80000	-301.35422	0.51822	-0.06983	0.00089	0.07441	0.00005	-0.47872	0.02153
-6.90000	-306.70840	0.38113	-0.06955	0.00091	0.07452	0.00008	-0.44333	0.01435
-7.00000	-310.93822	0.30232	-0.06977	0.00090	0.07454	0.00006	-0.43978	0.01899
-7.00000	-311.11757	0.41589	-0.06972	0.00000	0.07447	0.00005	-0.45809	0.00000
-7.00000	-312.82778	1.40336	0.77664	0.00000	1.32031	0.00036	0.29420	0.00000
-6.90000	-311.02342	1.90924	0.77702	0.00043	1.32034	0.00040	0.29434	0.00016
-6.80000	-306.05440	1.92487	0.77665	0.00063	1.32028	0.00040	0.29422	0.00025
-6.70000	-303.37294	2.13369	0.77720	0.00055	1.32042	0.00039	0.29439	0.00020
-6.60000	-299.35945	1.59781	0.77663	0.00081	1.32034	0.00039	0.29419	0.00029
-6.50000	-296.16604	1.75778	0.77545	0.00077	1.32032	0.00037	0.29375	0.00028
-6.40000	-292.37325	1.80666	0.77623	0.00041	1.32029	0.00042	0.29405	0.00015
-6.30000	-287.44726	1.46365	0.77704	0.00089	1.32042	0.00039	0.29433	0.00033
-6.20000	-284.47670	1.64538	0.77566	0.00108	1.32039	0.00040	0.29382	0.00040
-6.10000	-280.62228	1.86281	0.77532	0.00088	1.32038	0.00042	0.29369	0.00032
-6.00000	-276.42214	1.80036	0.77462	0.00066	1.32032	0.00036	0.29344	0.00025
-5.90000	-272.29408	1.52862	0.77466	0.00057	1.32043	0.00041	0.29343	0.00021
-5.80000	-268.87251	1.67102	0.77565	0.00082	1.32044	0.00039	0.29380	0.00031
-5.70000	-265.24517	1.30667	0.77508	0.00120	1.32037	0.00043	0.29360	0.00044
-5.60000	-259.50210	1.50094	0.77439	0.00094	1.32038	0.00039	0.29334	0.00035
-5.50000	-255.81327	1.62902	0.77662	0.00046	1.32038	0.00038	0.29418	0.00016
-5.40000	-251.45481	1.12248	0.77579	0.00118	1.32028	0.00036	0.29390	0.00045
-5.30000	-247.27779	1.57143	0.77473	0.00108	1.32035	0.00042	0.29348	0.00041
-5.20000	-244.01967	1.47480	0.77445	0.00010	1.32042	0.00042	0.29335	0.00004
-5.10000	-239.72211	1.31295	0.77389	0.00044	1.32040	0.00041	0.29315	0.00015
-5.00000	-235.40030	1.20371	0.77361	0.00061	1.32038	0.00042	0.29305	0.00021
-4.90000	-231.15488	1.44430	0.77315	0.00080	1.32028	0.00039	0.29290	0.00032
-4.80000	-227.16325	1.41968	0.77327	0.00039	1.32028	0.00044	0.29294	0.00013
-4.70000	-223.59391	0.89403	0.77446	0.00091	1.32031	0.00043	0.29339	0.00034
-4.60000	-217.93436	1.21489	0.77157	0.00085	1.32023	0.00038	0.29231	0.00031
-4.50000	-213.24414	1.00580	0.77337	0.00043	1.32041	0.00036	0.29295	0.00016
-4.40000	-209.76627	1.01927	0.77149	0.00103	1.32032	0.00038	0.29226	0.00038
-4.30000	-205.21148	1.31642	0.77436	0.00130	1.32045	0.00044	0.29332	0.00050
-4.20000	-201.49481	1.41122	0.77500	0.00084	1.32055	0.00044	0.29353	0.00031
-4.10000	-197.00757	1.15633	0.77307	0.00111	1.32038	0.00036	0.29285	0.00042
-4.00000	-192.55957	0.89132	0.77334	0.00107	1.32058	0.00042	0.29290	0.00040
-3.90000	-187.54661	1.02809	0.77277	0.00042	1.32044	0.00038	0.29272	0.00016
-3.80000	-184.06585	0.95231	0.77243	0.00073	1.32042	0.00043	0.29260	0.00028
-3.70000	-179.55614	1.04067	0.77293	0.00150	1.32049	0.00038	0.29277	0.00056
-3.60000	-174.30842	0.85943	0.77356	0.00158	1.32053	0.00044	0.29300	0.00060
-3.50000	-169.63191	1.06462	0.77265	0.00207	1.32034	0.00037	0.29270	0.00079
-3.40000	-165.27492	0.84700	0.77300	0.00100	1.32050	0.00040	0.29279	0.00038
-3.30000	-161.36662	0.84726	0.77254	0.00113	1.32042	0.00043	0.29264	0.00045
-3.20000	-156.63272	0.70562	0.77343	0.00154	1.32051	0.00042	0.29295	0.00058
-3.10000	-152.00593	0.99105	0.77234	0.00114	1.32046	0.00043	0.29256	0.00043
-3.00000	-147.40085	0.92938	0.77257	0.00119	1.32050	0.00041	0.29263	0.00044
-2.90000	-142.95114	0.74634	0.77236	0.00135	1.32058	0.00043	0.29253	0.00051
-2.80000	-138.35014	0.71132	0.77168	0.00169	1.32038	0.00039	0.29232	0.00065
-2.70000	-134.32272	0.67867	0.77209	0.00140	1.32042	0.00040	0.29247	0.00055
-2.60000	-129.60970	0.49898	0.77270	0.00089	1.32052	0.00037	0.29268	0.00033
-2.50000	-125.32797	0.63291	0.77337	0.00070	1.32061	0.00039	0.29291	0.00027
-2.40000	-121.23007	0.74298	0.77214	0.00120	1.32048	0.00040	0.29248	0.00046
-2.30000	-116.23840	0.89271	0.77165	0.00147	1.32045	0.00045	0.29230	0.00056
-2.20000	-112.02849	0.93835	0.77217	0.00147	1.32056	0.00044	0.29247	0.00055
-2.10000	-107.29273	0.62834	0.77138	0.00192	1.32056	0.00037	0.29217	0.00073
-2.00000	-102.72326	0.69607	0.77275	0.00295	1.32042	0.00038	0.29273	0.00109
-2.00000	-101.75065	0.50650	0.77287	0.00096	1.32051	0.00039	0.29275	0.00037
-1.95000	-99.69366	0.80831	0.77248	0.00040	1.32045	0.00038	0.29262	0.00016
-1.90000	-97.80753	0.82647	0.77155	0.00062	1.32054	0.00045	0.29224	0.00023
-1.85000	-95.79648	0.62973	0.77062	0.00096	1.32049	0.00035	0.29190	0.00036
-1.80000	-93.75035	0.65007	0.77112	0.00041	1.32046	0.00043	0.29210	0.00014
-1.75000	-91.04256	0.36523	0.77166	0.00141	1.32046	0.00039	0.29231	0.00053
-1.70000	-88.68087	0.57505	0.77170	0.00050	1.32055	0.00036	0.29230	0.00018
-1.65000	-86.29286	1.13513	0.76255	0.00508	1.32045	0.00040	0.28886	0.00194
-1.60000	-84.69132	0.40615	0.64732	0.03209	1.32051	0.00035	0.24522	0.01215
-1.55000	-81.94392	0.89918	0.60799	0.04198	1.32031	0.00038	0.23037	0.01587
-1.50000	-80.21520	1.05838	0.54496	0.01318	1.32028	0.00034	0.20650	0.00497
-1.40000	-75.10142	0.45744	0.49370	0.00864	1.32030	0.00041	0.18709	0.00325
-1.30000	-70.20645	0.65189	0.45072	0.00730	1.32024	0.00040	0.17082	0.00274
-1.20000	-65.74301	0.56126	0.41350	0.00675	1.32005	0.00045	0.15676	0.00254
-1.10000	-61.59053	0.97288	0.37780	0.00656	1.31996	0.00045	0.14325	0.00247
-1.00000	-57.00189	0.55346	0.34422	0.00629	1.32011	0.00043	0.13051	0.00236
-0.90000	-52.30566	0.32517	0.31202	0.00556	1.32001	0.00039	0.11832	0.00207
-0.80000	-47.63774	0.39046	0.28060	0.00540	1.31997	0.00038	0.10643	0.00201
-0.70000	-43.34219	0.75480	0.25265	0.00441	1.32002	0.00042	0.09584	0.00164
-0.60000	-37.90466	0.64599	0.22356	0.00418	1.31995	0.00039	0.08482	0.00155
-0.50000	-33.99455	0.52729	0.19492	0.00385	1.31991	0.00044	0.07398	0.00143
-0.40000	-29.35223	0.38506	0.16968	0.00372	1.31979	0.00040	0.06443	0.00137
-0.30000	-24.48618	0.38960	0.14359	0.00359	1.31992	0.00040	0.05453	0.00132
-0.20000	-19.99912	0.60298	0.11783	0.00288	1.31994	0.00041	0.04478	0.00104
-0.10000	-14.99457	0.42799	0.09213	0.00378	1.31983	0.00030	0.03505	0.00137
0.00000	-10.71106	0.41537	0.06794	0.00297	1.31989	0.00038	0.02588	0.00108
0.10000	-6.00210	0.60666	0.04406	0.00279	1.31996	0.00040	0.01683	0.00101
0.20000	-0.72731	0.65284	0.01739	0.00274	1.31979	0.00037	0.00674	0.00099
0.30000	3.03929	0.53257	-0.00694	0.00293	1.31985	0.00041	-0.00248	0.00106
0.40000	7.75319	0.50037	-0.03238	0.00285	1.31977	0.00037	-0.01212	0.00104
0.50000	12.42779	0.57123	-0.05712	0.00266	1.31965	0.00039	-0.02149	0.00096
0.60000	17.57842	0.51811	-0.08075	0.00314	1.31960	0.00045	-0.03044	0.00114
0.70000	22.33013	0.80650	-0.10239	0.00347	1.31975	0.00036	-0.03864	0.00127
0.80000	26.61274	0.23185	-0.12766	0.00304	1.31971	0.00043	-0.04821	0.00110
0.90000	31.76835	0.51621	-0.15167	0.00239	1.31962	0.00045	-0.05731	0.00087
1.00000	35.58423	0.52452	-0.17488	0.00287	1.31957	0.00048	-0.06610	0.00105
1.10000	40.05593	0.66142	-0.19957	0.00235	1.31950	0.00046	-0.07546	0.00084
1.20000	44.63968	0.33895	-0.22308	0.00267	1.31957	0.00047	-0.08437	0.00099
1.30000	49.74998	0.47265	-0.24614	0.00224	1.31950	0.00045	-0.09310	0.00079
1.40000	54.76183	0.69157	-0.27017	0.00272	1.31950	0.00045	-0.10221	0.00097
1.50000	58.88769	0.65513	-0.29594	0.00230	1.31950	0.00043	-0.11198	0.00081
1.60000	63.73754	0.56960	-0.31905	0.00231	1.31948	0.00048	-0.12073	0.00085
1.70000	68.64027	0.56933	-0.34312	0.00230	1.31940	0.00047	-0.12986	0.00083
1.80000	73.38963	0.55936	-0.36850	0.00272	1.31932	0.00037	-0.13948	0.00098
1.90000	77.70698	0.31713	-0.39389	0.00204	1.31950	0.00041	-0.14909	0.00071
2.00000	82.45672	0.66597	-0.42157	0.00218	1.31928	0.00041	-0.15960	0.00080
2.10000	87.09254	0.24904	-0.44885	0.00281	1.31940	0.00040	-0.16992	0.00100
2.20000	91.71319	0.32301	-0.48141	0.00281	1.31938	0.00044	-0.18226	0.00097
2.30000	95.89516	0.43997	-0.51591	0.00259	1.31928	0.00042	-0.19535	0.00092
2.40000	100.71582	0.35561	-0.55359	0.00211	1.31928	0.00043	-0.20963	0.00078
2.50000	105.83732	0.52873	-0.59930	0.00209	1.31922	0.00042	-0.22696	0.00073
2.60000	110.52013	0.67276	-0.64880	0.00180	1.31914	0.00047	-0.24573	0.00069
2.70000	114.60402	0.60324	-0.70275	0.00192	1.31896	0.00038	-0.26621	0.00069
2.80000	119.69539	0.65957	-0.75143	0.00264	1.31904	0.00037	-0.28465	0.00094
2.90000	124.16584	0.47785	-0.76573	0.00182	1.31914	0.00040	-0.29005	0.00062
3.00000	129.00737	0.33529	-0.76884	0.00283	1.31903	0.00043	-0.29125	0.00110
3.10000	133.37724	0.35222	-0.77049	0.00158	1.31917	0.00044	-0.29185	0.00054
3.20000	138.19941	0.35705	-0.77331	0.00160	1.31913	0.00040	-0.29293	0.00056
3.30000	142.87693	0.39084	-0.77404	0.00208	1.31909	0.00040	-0.29321	0.00076
3.40000	146.38902	0.34114	-0.77486	0.00255	1.31911	0.00033	-0.29352	0.00096
3.50000	151.69025	0.33279	-0.77547	0.00215	1.31902	0.00034	-0.29377	0.00078
3.60000	157.21567	0.28375	-0.77572	0.00193	1.31907	0.00036	-0.29385	0.00072
3.70000	160.16837	0.38816	-0.77532	0.00199	1.31904	0.00041	-0.29370	0.00068
3.80000	165.70077	0.36555	-0.77605	0.00208	1.31900	0.00045	-0.29399	0.00082
3.90000	170.35300	0.53912	-0.77565	0.00222	1.31896	0.00043	-0.29384	0.00085
4.00000	175.30182	0.48258	-0.77500	0.00229	1.31893	0.00043	-0.29360	0.00091
4.10000	179.89513	0.42141	-0.77534	0.00243	1.31893	0.00037	-0.29373	0.00089
4.20000	184.24711	0.41028	-0.77582	0.00219	1.31894	0.00030	-0.29391	0.00078
4.30000	188.38847	0.53560	-0.77532	0.00248	1.31897	0.00037	-0.29371	0.00096
4.40000	193.77723	0.41049	-0.77414	0.00219	1.31904	0.00039	-0.29325	0.00087
4.50000	198.37568	0.27562	-0.77558	0.00249	1.31901	0.00039	-0.29380	0.00094
4.60000	202.67127	0.34637	-0.77538	0.00242	1.31898	0.00042	-0.29374	0.00094
4.70000	206.37836	0.38401	-0.77553	0.00278	1.31909	0.00043	-0.29377	0.00106
4.80000	212.35218	0.13726	-0.77489	0.00177	1.31906	0.00040	-0.29353	0.00072
4.90000	216.78220	0.33181	-0.77527	0.00266	1.31901	0.00034	-0.29369	0.00097
5.00000	220.74238	0.36496	-0.77628	0.00246	1.31907	0.00044	-0.29406	0.00097
5.10000	225.60763	0.64663	-0.77602	0.00276	1.31899	0.00048	-0.29397	0.00111
5.20000	230.31713	0.46322	-0.77571	0.00283	1.31905	0.00038	-0.29384	0.00110
5.30000	234.28435	0.28347	-0.77698	0.00262	1.31911	0.00038	-0.29431	0.00104
5.40000	239.65543	0.27270	-0.77789	0.00231	1.31898	0.00036	-0.29468	0.00089
5.50000	243.83605	0.13594	-0.77686	0.00269	1.31900	0.00041	-0.29429	0.00108
5.60000	247.85207	0.28819	-0.77546	0.00265	1.31913	0.00031	-0.29373	0.00102
5.70000	252.57783	0.41612	-0.77697	0.00251	1.31907	0.00036	-0.29431	0.00095
5.80000	257.54550	0.50503	-0.77577	0.00220	1.31907	0.00041	-0.29386	0.00087
5.90000	261.28290	0.63726	-0.77771	0.00271	1.31904	0.00041	-0.29460	0.00108
6.00000	266.69698	0.47455	-0.77783	0.00264	1.31912	0.00042	-0.29463	0.00108
6.10000	270.66761	0.13204	-0.77638	0.00264	1.31902	0.00039	-0.29410	0.00102
6.20000	275.54154	0.16764	-0.77656	0.00292	1.31901	0.00045	-0.29417	0.00116
6.30000	279.74979	0.26454	-0.77740	0.00322	1.31895	0.00038	-0.29449	0.00123
6.40000	283.72745	0.60525	-0.77500	0.00361	1.31915	0.00042	-0.29355	0.00146
6.50000	289.34475	0.47525	-0.77640	0.00273	1.31909	0.00036	-0.29409	0.00107
6.60000	293.02604	0.26197	-0.77805	0.00276	1.31898	0.00037	-0.29474	0.00108
6.70000	298.29211	0.22483	-0.77770	0.00193	1.31899	0.00043	-0.29460	0.00078
6.80000	302.44405	0.49415	-0.77652	0.00256	1.31910	0.00047	-0.29413	0.00102
6.90000	306.68185	0.80533	-0.77763	0.00193	1.31916	0.00041	-0.29454	0.00073
7.00000	311.58361	0.36908	-0.77768	0.00225	1.31915	0.00045	-0.29456	0.00088
7.00000	312.10239	0.47390	-0.77817	0.00259	1.31902	0.00040	-0.29477	0.00101
7.00000	312.82778	0.28512	-0.77746	0.00221	1.31910	0.00041	-0.29448	0.00085
6.90000	308.60074	0.22915	-0.77736	0.00242	1.31909	0.00043	-0.29445	0.00094
6.80000	305.38277	0.50849	-0.77634	0.00250	1.31913	0.00038	-0.29406	0.00095
6.70000	302.07258	0.34678	-0.77580	0.00244	1.31925	0.00041	-0.29383	0.00094
6.60000	298.39762	0.45501	-0.77596	0.00347	1.31909	0.00043	-0.29392	0.00135
6.50000	294.59306	0.24195	-0.77606	0.00346	1.31918	0.00038	-0.29394	0.00133
6.40000	290.57330	0.35577	-0.77742	0.00323	1.31907	0.00037	-0.29448	0.00125
6.30000	287.36241	0.51289	-0.77761	0.00269	1.31902	0.00038	-0.29455	0.00104
6.20000	282.92972	0.47478	-0.77728	0.00256	1.31897	0.00041	-0.29444	0.00102
6.10000	279.11472	0.40092	-0.77559	0.00235	1.31904	0.00045	-0.29378	0.00086
6.00000	276.15246	0.35832	-0.77729	0.00234	1.31893	0.00035	-0.29445	0.00081
5.90000	271.13345	0.27977	-0.77626	0.00254	1.31896	0.00041	-0.29405	0.00100
5.80000	267.17599	0.35495	-0.77582	0.00297	1.31888	0.00041	-0.29390	0.00116
5.70000	263.71307	0.37713	-0.77501	0.00271	1.31901	0.00037	-0.29357	0.00103
5.60000	258.97584	0.51840	-0.77531	0.00336	1.31910	0.00033	-0.29366	0.00128
5.50000	255.73507	0.50190	-0.77477	0.00225	1.31907	0.00046	-0.29346	0.00093
5.40000	251.43537	0.33300	-0.77508	0.00304	1.31898	0.00042	-0.29360	0.00119
5.30000	247.38629	0.32506	-0.77400	0.00260	1.31909	0.00040	-0.29317	0.00101
5.20000	243.40110	0.29637	-0.77360	0.00289	1.31917	0.00042	-0.29300	0.00113
5.10000	238.27584	0.18381	-0.77270	0.00326	1.31915	0.00040	-0.29266	0.00132
5.00000	234.96536	0.45538	-0.77388	0.00355	1.31915	0.00042	-0.29311	0.00142
4.90000	230.84215	0.44416	-0.77483	0.00403	1.31913	0.00037	-0.29347	0.00154
4.80000	226.02280	0.40557	-0.77434	0.00263	1.31919	0.00040	-0.29328	0.00103
4.70000	221.78351	0.49293	-0.77393	0.00277	1.31910	0.00035	-0.29314	0.00107
4.60000	218.51517	0.35165	-0.77302	0.00371	1.31911	0.00038	-0.29279	0.00147
4.50000	214.70883	0.38433	-0.77315	0.00292	1.31902	0.00039	-0.29286	0.00114
4.40000	209.89668	0.15432	-0.77305	0.00291	1.31901	0.00038	-0.29282	0.00114
4.30000	205.67996	0.37066	-0.77269	0.00252	1.31902	0.00043	-0.29268	0.00103
4.20000	200.74084	0.34099	-0.77372	0.00295	1.31904	0.00040	-0.29306	0.00116
4.10000	196.14892	0.51374	-0.77279	0.00283	1.31905	0.00035	-0.29271	0.00109
4.00000	192.47943	0.22506	-0.77184	0.00236	1.31905	0.00035	-0.29235	0.00094
3.90000	187.56942	0.10654	-0.77219	0.00226	1.31906	0.00037	-0.29248	0.00089
3.80000	183.52253	0.26379	-0.77275	0.00272	1.31910	0.00035	-0.29269	0.00105
3.70000	178.71606	0.29358	-0.77286	0.00248	1.31913	0.00042	-0.29272	0.00097
3.60000	174.77047	0.21537	-0.77198	0.00278	1.31909	0.00040	-0.29240	0.00108
3.50000	171.01385	0.58229	-0.77143	0.00212	1.31910	0.00039	-0.29218	0.00086
3.40000	165.45488	0.61722	-0.77273	0.00257	1.31903	0.00037	-0.29269	0.00101
3.30000	162.03006	0.29459	-0.77149	0.00322	1.31918	0.00042	-0.29219	0.00129
3.20000	157.59326	0.26799	-0.77200	0.00208	1.31914	0.00038	-0.29239	0.00085
3.10000	152.80760	0.11012	-0.77290	0.00237	1.31913	0.00037	-0.29273	0.00094
3.00000	148.37557	0.41924	-0.77281	0.00268	1.31918	0.00041	-0.29269	0.00104
2.90000	143.77687	0.27013	-0.77134	0.00233	1.31914	0.00036	-0.29214	0.00096
2.80000	139.64373	0.32847	-0.77204	0.00229	1.31906	0.00039	-0.29242	0.00093
2.70000	135.29993	0.31121	-0.77310	0.00304	1.31919	0.00041	-0.29279	0.00124
2.60000	130.27817	0.31189	-0.77257	0.00230	1.31906	0.00037	-0.29262	0.00090
2.50000	126.22449	0.29108	-0.77169	0.00243	1.31925	0.00039	-0.29225	0.00096
2.40000	121.65735	0.58783	-0.77172	0.00195	1.31915	0.00039	-0.29228	0.00076
2.30000	116.75901	0.30530	-0.77172	0.00256	1.31913	0.00046	-0.29228	0.00103
2.20000	112.39196	0.30876	-0.77109	0.00226	1.31921	0.00038	-0.29203	0.00084
2.10000	108.66148	0.17430	-0.77241	0.00266	1.31913	0.00041	-0.29254	0.00103
2.00000	103.20412	0.29764	-0.77153	0.00250	1.31918	0.00048	-0.29220	0.00101
2.00000	102.79380	0.29297	-0.77221	0.00203	1.31913	0.00042	-0.29247	0.00078
1.90000	99.38832	0.27760	-0.77131	0.00242	1.31935	0.00034	-0.29208	0.00086
1.80000	94.55673	0.22302	-0.77136	0.00205	1.31925	0.00048	-0.29212	0.00085
1.70000	90.58542	0.24179	-0.77184	0.00271	1.31902	0.00047	-0.29234	0.00108
1.60000	85.73444	0.21600	-0.59869	0.00388	1.31942	0.00040	-0.22665	0.00160
1.50000	80.97581	0.21697	-0.52557	0.00290	1.31940	0.00034	-0.19895	0.00120
1.40000	77.08177	0.42938	-0.47618	0.00204	1.31948	0.00038	-0.18022	0.00083
1.30000	71.97029	0.40187	-0.43731	0.00298	1.31931	0.00049	-0.16550	0.00123
1.20000	67.20560	0.30390	-0.40120	0.00295	1.31957	0.00038	-0.15180	0.00118
1.10000	62.49382	0.13796	-0.36586	0.00203	1.31963	0.00044	-0.13840	0.00083
1.00000	57.58913	0.10536	-0.33199	0.00194	1.31970	0.00047	-0.12556	0.00082
0.90000	54.23538	0.33505	-0.30221	0.00289	1.31964	0.00040	-0.11428	0.00114
0.80000	49.49555	0.27012	-0.27253	0.00238	1.31975	0.00042	-0.10303	0.00095
0.70000	44.18348	0.38310	-0.24467	0.00230	1.31978	0.00037	-0.09248	0.00085
0.60000	39.47256	0.09226	-0.21596	0.00184	1.31980	0.00041	-0.08160	0.00076
0.50000	35.69387	0.26222	-0.18970	0.00138	1.31968	0.00040	-0.07165	0.00055
0.40000	31.61267	0.30931	-0.16275	0.00194	1.31985	0.00045	-0.06144	0.00078
0.30000	26.44173	0.41910	-0.13832	0.00191	1.31982	0.00040	-0.05219	0.00076
0.20000	21.93981	0.18342	-0.11236	0.00189	1.31990	0.00041	-0.04235	0.00074
0.10000	17.03678	0.10722	-0.08783	0.00214	1.31989	0.00042	-0.03306	0.00082
-0.00000	12.05943	0.39189	-0.06218	0.00210	1.31997	0.00037	-0.02334	0.00082
-0.10000	7.67863	0.31137	-0.03620	0.00186	1.31998	0.00037	-0.01350	0.00073
-0.20000	3.16425	0.37035	-0.01182	0.00270	1.32010	0.00034	-0.00427	0.00105
-0.30000	-1.66781	0.49649	0.01194	0.00255	1.32006	0.00045	0.00473	0.00100
-0.40000	-5.60090	0.30852	0.03536	0.00183	1.32005	0.00037	0.01361	0.00073
-0.50000	-10.99167	0.32997	0.06010	0.00181	1.31998	0.00042	0.02298	0.00073
-0.60000	-15.55796	0.27726	0.08381	0.00195	1.32014	0.00041	0.03196	0.00077
-0.70000	-20.15258	0.43902	0.10772	0.00227	1.32009	0.00036	0.04101	0.00089
-0.80000	-24.99472	0.32345	0.13203	0.00237	1.32013	0.00037	0.05022	0.00091
-0.90000	-29.72046	0.40746	0.15666	0.00225	1.32019	0.00038	0.05954	0.00085
-1.00000	-33.56058	0.46799	0.18000	0.00159	1.32026	0.00038	0.06838	0.00062
-1.10000	-39.16051	0.36670	0.20588	0.00228	1.32034	0.00041	0.07817	0.00087
-1.20000	-43.71479	0.43855	0.22645	0.00225	1.32018	0.00038	0.08598	0.00085
-1.30000	-48.12205	0.25334	0.25036	0.00187	1.32040	0.00040	0.09501	0.00071
-1.40000	-52.23329	0.57446	0.27518	0.00205	1.32018	0.00040	0.10443	0.00078
-1.50000	-58.01208	0.62304	0.29837	0.00233	1.32038	0.00040	0.11319	0.00089
-1.60000	-61.15887	0.44723	0.32287	0.00217	1.32040	0.00037	0.12247	0.00081
-1.70000	-66.52749	0.22416	0.34642	0.00198	1.32035	0.00042	0.13140	0.00076
-1.80000	-71.18372	0.48695	0.37231	0.00241	1.32025	0.00042	0.14121	0.00091
-1.90000	-75.84858	0.38104	0.39745	0.00218	1.32040	0.00036	0.15071	0.00083
-2.00000	-80.57677	0.21593	0.42703	0.00262	1.32036	0.00039	0.16192	0.00099
-2.10000	-85.55016	0.43779	0.45529	0.00255	1.32040	0.00038	0.17262	0.00096
-2.20000	-90.45980	0.53097	0.48746	0.00200	1.32040	0.00042	0.18480	0.00074
-2.30000	-94.39223	0.19629	0.52275	0.00278	1.32051	0.00038	0.19814	0.00105
-2.40000	-99.33879	0.39865	0.56135	0.00270	1.32058	0.00041	0.21275	0.00100
-2.50000	-103.89084	0.22055	0.60775	0.00258	1.32055	0.00037	0.23032	0.00097
-2.60000	-108.49533	0.60948	0.65926	0.00307	1.32066	0.00039	0.24980	0.00116
-2.70000	-113.11714	0.47813	0.71423	0.00340	1.32073	0.00038	0.27060	0.00129
-2.80000	-118.24912	0.47457	0.75976	0.00260	1.32073	0.00042	0.28783	0.00099
-2.90000	-122.15876	0.37786	0.76880	0.00135	1.32077	0.00043	0.29124	0.00052
-3.00000	-127.51813	0.53046	0.77096	0.00193	1.32066	0.00044	0.29209	0.00072
-3.10000	-131.55014	0.16155	0.77321	0.00119	1.32074	0.00040	0.29292	0.00045
-3.20000	-136.88503	0.36942	0.77383	0.00099	1.32076	0.00044	0.29315	0.00037
-3.30000	-140.85538	0.29590	0.77469	0.00221	1.32076	0.00039	0.29348	0.00083
-3.40000	-145.71691	0.56625	0.77584	0.00256	1.32080	0.00036	0.29391	0.00096
-3.50000	-150.05048	0.49793	0.77531	0.00086	1.32084	0.00043	0.29370	0.00033
-3.60000	-155.37368	0.30602	0.77603	0.00176	1.32083	0.00043	0.29397	0.00067
-3.70000	-160.04630	0.40892	0.77533	0.00224	1.32091	0.00042	0.29369	0.00084
-3.80000	-164.76258	0.27292	0.77442	0.00132	1.32064	0.00043	0.29341	0.00051
-3.90000	-168.87657	0.45494	0.77443	0.00166	1.32069	0.00041	0.29340	0.00062
-4.00000	-173.49619	0.43475	0.77615	0.00166	1.32086	0.00046	0.29401	0.00061
-4.10000	-178.75921	0.54763	0.77437	0.00124	1.32070	0.00041	0.29338	0.00046
-4.20000	-181.77602	0.27543	0.77449	0.00086	1.32064	0.00042	0.29344	0.00033
-4.30000	-187.78087	0.48386	0.77592	0.00061	1.32075	0.00043	0.29395	0.00023
-4.40000	-191.85035	0.45898	0.77451	0.00072	1.32070	0.00046	0.29343	0.00026
-4.50000	-196.90032	0.37609	0.77519	0.00146	1.32076	0.00038	0.29367	0.00054
-4.60000	-201.13804	0.30362	0.77439	0.00137	1.32078	0.00040	0.29337	0.00052
-4.70000	-206.45250	0.20914	0.77456	0.00159	1.32075	0.00041	0.29344	0.00059
-4.80000	-210.75342	0.43269	0.77572	0.00093	1.32078	0.00044	0.29387	0.00035
-4.90000	-216.08497	0.46628	0.77605	0.00038	1.32085	0.00043	0.29398	0.00014
-5.00000	-219.54735	0.83691	0.77658	0.00089	1.32085	0.00041	0.29418	0.00033
-5.10000	-224.35113	0.36218	0.77744	0.00075	1.32088	0.00045	0.29450	0.00028
-5.20000	-228.65801	0.37795	0.77765	0.00094	1.32086	0.00043	0.29458	0.00035
-5.30000	-234.32585	0.21114	0.77670	0.00097	1.32077	0.00044	0.29425	0.00038
-5.40000	-237.52952	0.37298	0.77613	0.00081	1.32083	0.00043	0.29402	0.00030
-5.50000	-243.24509	0.50391	0.77629	0.00152	1.32080	0.00041	0.29409	0.00057
-5.60000	-247.06558	0.52252	0.77702	0.00133	1.32090	0.00039	0.29433	0.00049
-5.70000	-251.01503	0.41222	0.77739	0.00122	1.32090	0.00042	0.29448	0.00046
-5.80000	-256.72569	0.16244	0.77660	0.00124	1.32078	0.00041	0.29421	0.00046
-5.90000	-260.98115	0.43809	0.77620	0.00102	1.32074	0.00040	0.29407	0.00037
-6.00000	-265.81623	0.39434	0.77698	0.00077	1.32083	0.00041	0.29434	0.00029
-6.10000	-270.07140	0.21191	0.77580	0.00123	1.32074	0.00041	0.29392	0.00046
-6.20000	-274.04207	0.35896	0.77817	0.00152	1.32092	0.00039	0.29477	0.00056
-6.30000	-278.46761	0.10206	0.77782	0.00058	1.32085	0.00047	0.29466	0.00021
-6.40000	-284.44172	0.34513	0.77627	0.00108	1.32085	0.00042	0.29407	0.00040
-6.50000	-288.37256	0.42517	0.77754	0.00138	1.32083	0.00042	0.29456	0.00051
-6.60000	-292.57234	0.13029	0.77699	0.00057	1.32090	0.00044	0.29433	0.00021
-6.70000	-296.96008	0.52289	0.77752	0.00095	1.32086	0.00043	0.29454	0.00034
-6.80000	-301.35422	0.51822	0.77595	0.00078	1.32085	0.00039	0.29395	0.00029
-6.90000	-306.70840	0.38113	0.77694	0.00073	1.32087	0.00040	0.29432	0.00028
