# saved on 06.03.2022 by lrlunin
#  exported data from ptb bessy evaluation on 08102020
# fit exported with good x finess, check 5. Re-function fit.ipynb for source fit function and coefficients
#  photon energy [eV], fit response [ADU/photon],  fit -> quantum efficiency [%]
7.318706697459583665e+01,2.585518255293585074e-03,2.333827103869228392e-04
7.462663587374903784e+01,1.775995125454413615e-03,1.572183806324120754e-04
7.606620477290223903e+01,1.206708394366327484e-03,1.048011381629448724e-04
7.750577367205542600e+01,8.100571528159934611e-04,6.904576073184354027e-05
7.894534257120861298e+01,5.368981338556696667e-04,4.492838362261398209e-05
8.038491147036181417e+01,3.516548362571906834e-04,2.889997521677214947e-05
8.182448036951501535e+01,2.345089177910942614e-04,1.893352685886277070e-05
8.326404926866820233e+01,1.560302115302476724e-04,1.237959917243723416e-05
8.470361816782140352e+01,1.027976947792476011e-04,8.017460472412732552e-06
8.614318706697460470e+01,6.942736193771239692e-05,5.324332164288394595e-06
8.758275596612779168e+01,5.472847151938606502e-05,4.128099206224509681e-06
8.902232486528097866e+01,4.909332375269515010e-05,3.643165642882846558e-06
9.046189376443417984e+01,4.425435630781055397e-05,3.231809599069384605e-06
9.190146266358738103e+01,3.990242382787145830e-05,2.868350817967808124e-06
9.334103156274056801e+01,3.598635765317482793e-05,2.546951700651146466e-06
9.478060046189376919e+01,3.246816242878842497e-05,2.263047490202664364e-06
9.622016936104695617e+01,2.930570586824456653e-05,2.012062574379387485e-06
9.765973826020015736e+01,2.645811503698719902e-05,1.789776320772762843e-06
9.909930715935334433e+01,2.388242297835998853e-05,1.592073747743916561e-06
1.005388760585065455e+02,1.618801179287023006e-05,1.063689567534756287e-06
1.019784449576597325e+02,1.405117923201078726e-05,9.102481434924455020e-07
1.034180138568129337e+02,1.377318553162283078e-05,8.798195710144187029e-07
1.048575827559661207e+02,1.293521700837056179e-05,8.149468600348164092e-07
1.062971516551193218e+02,1.141569009473745789e-05,7.094731375111995346e-07
1.077367205542725230e+02,1.031850486397512798e-05,6.327154436056259140e-07
1.091762894534257100e+02,9.510025437926030895e-06,5.754515473607770953e-07
1.106158583525789112e+02,8.756351945925442142e-06,5.229512781283845568e-07
1.120554272517320982e+02,8.009184323537148803e-06,4.721834992886658875e-07
1.134949961508852994e+02,7.401602389315810816e-06,4.308285253116454410e-07
1.149345650500384863e+02,6.776337899023805196e-06,3.894931378941424049e-07
1.163741339491916875e+02,6.129340291072924093e-06,3.479466703460496257e-07
1.178137028483448745e+02,5.566733824369942784e-06,3.121476455020724065e-07
1.192532717474980757e+02,5.145420310407376353e-06,2.850401035688568120e-07
1.206928406466512627e+02,4.801643164552360552e-06,2.628232532418587321e-07
1.221324095458044638e+02,4.485016045701207665e-06,2.425987111744491333e-07
1.235719784449576650e+02,4.238428582989178278e-06,2.265897620277540433e-07
1.250115473441108520e+02,4.405547399030553426e-06,2.328118923843960840e-07
1.264511162432640532e+02,4.980733329721988548e-06,2.602112303701292447e-07
1.278906851424172402e+02,5.820890904364524516e-06,3.006809815720774514e-07
1.293302540415704414e+02,6.762011562338833534e-06,3.454070455057264160e-07
1.307698229407236283e+02,7.811971424184062393e-06,3.946467438011213735e-07
1.322093918398768437e+02,9.034638014267318420e-06,4.514439764532172022e-07
1.336489607390300307e+02,1.056528237368709004e-05,5.222409662644286580e-07
1.350885296381832177e+02,1.253061943785908795e-05,6.127869096122983403e-07
1.365280985373364047e+02,1.482303847410368765e-05,7.172500838072594336e-07
1.379676674364895916e+02,1.727507980869860696e-05,8.271764360204257378e-07
1.394072363356428070e+02,1.989131257503559403e-05,9.426132450198549421e-07
1.408468052347959940e+02,2.276627722500195231e-05,1.067825857120545765e-06
1.422863741339492094e+02,2.612973755617072644e-05,1.213185326469384590e-06
1.437259430331023964e+02,2.973742517557179937e-05,1.366858660902026940e-06
1.451655119322555834e+02,3.358101123418232882e-05,1.528219488119218621e-06
1.466050808314087703e+02,3.796250720025260236e-05,1.710650462411792760e-06
1.480446497305619573e+02,4.291880320367189922e-05,1.915183095995977846e-06
1.494842186297151443e+02,4.853236858878950385e-05,2.144823479007397911e-06
1.509237875288683597e+02,5.495389068324819861e-05,2.405449055316370243e-06
1.523633564280215467e+02,6.307977210863550130e-05,2.735048285982760444e-06
1.538029253271747621e+02,7.401445765142914996e-05,3.179123350125332055e-06
1.552424942263279490e+02,8.663464705961258045e-05,3.686688228323812931e-06
1.566820631254811360e+02,9.955722416392565792e-05,4.197675970389271280e-06
1.581216320246343230e+02,1.134379641855734960e-04,4.739391105964995118e-06
1.595612009237875384e+02,1.290883089173964864e-04,5.344597801782339540e-06
1.610007698229407254e+02,1.460484092829893849e-04,5.992724216779142400e-06
1.624403387220939123e+02,1.646896643593134205e-04,6.697733630036362774e-06
1.638799076212470993e+02,1.857704508306875927e-04,7.488698365131893910e-06
1.653194765204003147e+02,2.099869293697927987e-04,8.391191936081480958e-06
1.667590454195535017e+02,2.371361369324055874e-04,9.394285483229584000e-06
1.681986143187066887e+02,2.672064715476788095e-04,1.049494029317707778e-05
1.696381832178599041e+02,3.018399411521407397e-04,1.175461768593483020e-05
1.710777521170130910e+02,3.431554833891660872e-04,1.325112715413443270e-05
1.725173210161662780e+02,3.906522603785229008e-04,1.495936123838378520e-05
1.739568899153194650e+02,4.441836086162139711e-04,1.686849384720822925e-05
1.753964588144726804e+02,5.061333555921639776e-04,1.906336451203025718e-05
1.768360277136258674e+02,5.762005883165654055e-04,2.152575337568394837e-05
1.782755966127790543e+02,6.616700489458817976e-04,2.451912633836664503e-05
1.797151655119322413e+02,7.714024899216351868e-04,2.835644105273509282e-05
1.811547344110854567e+02,9.226463565676634726e-04,3.364658534426178576e-05
1.825943033102386437e+02,1.111649899005403468e-03,4.021945880327906922e-05
1.840338722093918307e+02,1.333457954826336184e-03,4.786708447929814421e-05
1.854734411085450461e+02,1.592614789411377421e-03,5.672629620517595229e-05
1.869130100076982330e+02,1.894205259097461302e-03,6.694881899467226144e-05
1.883525789068514200e+02,2.243473617590521860e-03,7.868733004079130088e-05
1.897921478060046070e+02,2.645814677253724261e-03,9.209511494796255757e-05
1.912317167051578224e+02,3.108662964474838853e-03,1.073913072506744358e-04
1.926712856043110094e+02,3.638977876006636858e-03,1.247722002382967458e-04
1.941108545034641963e+02,4.244671097386954611e-03,1.444606738270252195e-04
1.955504234026173833e+02,4.934340314929698372e-03,1.666962199805001831e-04
1.969899923017705987e+02,5.717227408308018545e-03,1.917329336664179288e-04
1.984295612009237857e+02,6.603299503457013032e-03,2.198416816165058572e-04
1.998691301000769727e+02,7.603752170888752882e-03,2.513261304967930715e-04
2.013086989992301881e+02,8.731765151989555329e-03,2.865463744644375301e-04
2.027482678983833750e+02,9.998922956525957764e-03,3.258003023106091135e-04
2.041878367975365620e+02,1.141771998564252225e-02,3.694068405625457489e-04
2.056274056966897490e+02,1.300118421583931413e-02,4.176931270492155088e-04
2.070669745958429644e+02,1.476470833929082946e-02,4.710526460939133578e-04
2.085065434949961514e+02,1.672515054853785862e-02,5.299144477130270613e-04
2.099461123941493383e+02,1.889989601542072309e-02,5.947123963585370906e-04
2.113856812933025253e+02,2.128585398656367492e-02,6.652286211398939896e-04
2.128252501924557407e+02,2.391214923211293711e-02,7.422511400969466090e-04
2.142648190916089277e+02,2.680373269139929571e-02,8.264181052254108376e-04
2.157043879907621147e+02,2.998161646069614009e-02,9.182300001972954363e-04
2.171439568899153301e+02,3.346807761358935179e-02,1.018212521641957821e-03
2.185835257890685170e+02,3.726073042346968872e-02,1.126132132926948486e-03
2.200230946882217040e+02,4.138318650067657201e-02,1.242541986823744683e-03
2.214626635873748910e+02,4.581928388768445604e-02,1.366794403503445018e-03
2.229022324865281064e+02,5.058391999215493956e-02,1.499178955496973309e-03
2.243418013856812934e+02,5.571424408421557506e-02,1.640633039617152506e-03
2.257813702848344803e+02,6.079893534855865256e-02,1.778948122714511977e-03
2.272209391839876673e+02,6.614504023032270752e-02,1.923110981800363675e-03
2.286605080831408827e+02,7.182580656821435650e-02,2.075127381510545339e-03
2.301000769822940697e+02,7.790531591299233727e-02,2.236689724602576763e-03
2.315396458814472567e+02,8.433016655660506566e-02,2.406096309002551774e-03
2.329792147806004721e+02,9.116104339233564724e-02,2.584922481148907089e-03
2.344187836797536590e+02,9.844513646064963208e-02,2.774324586354090603e-03
2.358583525789068460e+02,1.062067274017317181e-01,2.974789087710515319e-03
2.372979214780600330e+02,1.143494011946629696e-01,3.183430508717904721e-03
2.387374903772132484e+02,1.229855695991673714e-01,3.403211547727874077e-03
