delta_hel_plus,,delta_hel_minus,,beta_hel_plus,,beta_hel_minus,
X,Y,X,Y,X,Y,X,Y
675.4899777282851,0.0009696322196322167,675.5673100717644,0.0009696322196322167,675.1827094474154,0.00030715811965811857,675.0713012477719,0.0002737713675213735
680.3232491957436,0.0008178742553742561,679.7432566196486,0.0007875226625226606,680.6417112299465,0.0002737713675213631,680.0846702317291,0.00024038461538461453
677.6552833457065,0.0008785774410774404,684.7698589458055,0.0005649443149443115,696.3502673796792,0.0001736111111111105,695.5704099821746,0.00024038461538461453
686.0071764414748,0.000595295907795907,690.4151200197971,0.00024119399119398865,699.469696969697,0.0002069978632478625,703.2575757575758,0.0002737713675213631
691.4204404850284,0.000291779979279979,695.0550606285573,-0.0001027907277907289,703.8146167557932,0.0002904647435897391,705.0401069518716,0.0009415064102564104
696.6790398416233,-0.0001027907277907289,698.5350160851274,-0.0006086506086506079,705.1515151515151,0.001208600427350423,705.4857397504456,0.0020432692307692304
701.9376391982182,-0.001053807303807306,700.9323187329869,-0.0011954480704480692,705.4857397504456,0.0022435897435897426,705.819964349376,0.0037793803418803423
703.6389507547636,-0.0017822455322455376,702.556297946053,-0.0018429487179487183,705.7085561497325,0.0031450320512820505,705.9313725490196,0.005582264957264955
704.4896065330364,-0.0025511525511525517,703.716283098243,-0.0027332621082621147,706.0427807486631,0.004614049145299143,706.1541889483066,0.006884348290598287
704.8762682504331,-0.003279590779590783,704.3349418460776,-0.003603341103341106,706.3770053475936,0.005649038461538462,706.2655971479501,0.00811965811965812
705.1855976243504,-0.004250841750841755,704.9536005939124,-0.004918576793576799,707.6024955436719,0.005348557692307694,706.2655971479501,0.008887553418803418
705.8042563721851,-0.0047162328412328446,705.2629299678297,-0.005788655788655794,708.270944741533,0.004747596153846154,706.4884135472371,0.009622061965811965
706.5775798069785,-0.003603341103341106,705.4949269982677,-0.006456390831390834,709.1622103386809,0.0038461538461538464,706.5998217468806,0.010122863247863248
706.7322444939372,-0.0024297461797461867,705.7269240287058,-0.0068813131313131305,710.1648841354723,0.0030448717948717945,706.7112299465241,0.010657051282051282
706.8869091808958,-0.0014787296037296095,705.9589210591438,-0.00724553224553225,711.3903743315508,0.0022769764957264946,706.8226381461675,0.010823985042735042
706.9642415243751,-0.0006491193991194008,706.2682504330611,-0.0068003755503755585,713.7299465240642,0.0019431089743589744,707.2682709447415,0.01015625
707.4282355852512,0.00009955322455322199,706.2682504330611,-0.00625404687904688,716.626559714795,0.0016760149572649548,707.2682709447415,0.009488514957264958
708.5108883939619,0.0008886946386946377,706.3455827765405,-0.005768421393421399,717.9634581105169,0.0022769764957264946,707.4910873440285,0.008820779914529914
710.2121999505073,0.0013540857290857272,706.5002474634991,-0.0052625615125615165,718.5204991087344,0.0031450320512820505,707.6024955436719,0.008253205128205128
711.990843850532,0.0010910385910385886,706.4229151200198,-0.004250841750841755,718.8547237076648,0.0038795405982905984,707.7139037433155,0.007785790598290598
714.1561494679535,0.0007470538720538711,706.5775798069785,-0.0031986531986532007,719.3003565062388,0.004380341880341882,707.7139037433155,0.007184829059829059
715.5481316505816,0.00048400673400672903,706.7322444939372,-0.0019441206941206955,719.7459893048128,0.004814369658119658,707.9367201426024,0.006517094017094015
716.6307844592923,0.000018615643615639554,707.0415738678545,-0.0008109945609945657,720.7486631016043,0.004213408119658119,708.048128342246,0.0060162927350427345
717.3267755506063,-0.0004265410515410552,707.1189062113339,0.00030189717689717635,721.3057040998217,0.003645833333333331,708.3823529411765,0.0050146901709401705
718.177431328879,-0.0011145104895104938,707.2735708982925,0.0011315073815073781,721.8627450980391,0.0031784188034188025,708.716577540107,0.0041132478632478625
718.4867607027963,-0.001215682465682464,707.2735708982925,0.0017790080290080272,722.8654188948306,0.002744391025641023,709.6078431372549,0.0033453525641025626
719.105419450631,-0.000750291375291378,707.5055679287306,0.002224164724164722,723.9795008912655,0.0023771367521367506,711.0561497326203,0.002510683760683762
719.337416481069,-0.00002185314685314646,707.5829002722098,0.002649087024087022,725.3163992869875,0.0022102029914529905,713.1729055258467,0.0020098824786324784
719.7240781984657,0.0006661162911162886,707.7375649591685,0.003053774928774927,726.9875222816398,0.0020766559829059825,715.958110516934,0.0017094017094017068
720.265404602821,0.0013136169386169377,708.3562237070032,0.0034382284382284377,728.9928698752227,0.0019097222222222224,717.9634581105169,0.0021768162393162385
720.8453971789161,0.0020015863765863763,709.3615441722346,0.003074009324009322,730.9982174688056,0.0018429487179487149,717.4064171122994,0.0018095619658119629
722.0440485028458,0.0022443991193991167,710.4441969809453,0.0026086182336182324,733.8948306595364,0.0018095619658119629,714.7326203208556,0.0018429487179487149
724.5960158376639,0.0019408831908831886,710.9081910418213,0.0023658054908054886,736.7914438502673,0.0017761752136752108,718.5204991087344,0.0030448717948717945
727.4573125463994,0.0017790080290080272,711.294852759218,0.0021634615384615377,739.0196078431371,0.0016760149572649548,719.4117647058823,0.0034121260683760667
730.3959415986142,0.00167783605283605,711.8361791635733,0.0019206487956487939,742.139037433155,0.0016426282051282062,720.5258467023173,0.0030782585470085465
733.2572383073497,0.0016171328671328658,712.6095025983667,0.0016980704480704482,744.5900178253119,0.0016760149572649548,721.7513368983957,0.002544070512820514
736.2731997030438,0.0015968984718984676,709.90287057659,0.0028109621859621833,,,723.3110516934046,0.0021100427350427345
739.2891610987378,0.0015968984718984676,708.8975501113586,0.003256118881118878,,,725.7620320855615,0.0018763354700854704
742.0731254639941,0.0015968984718984676,707.8922296461271,0.003296587671587671,,,727.6559714795009,0.0018429487179487149
744.1610987379361,0.0016171328671328658,707.5829002722098,0.0028311965811965815,,,729.9955436720143,0.0017427884615384588
683.1458797327394,0.0006863506863506834,707.5055679287306,0.002426508676508673,,,731.5552584670231,0.0017094017094017068
689.023137837169,0.000443537943537943,713.5374907201187,0.0015564296814296816,,,733.337789661319,0.0017094017094017068
694.2044048502846,0.00009955322455322199,714.3108141549121,0.001455257705257701,,,735.0089126559714,0.0016760149572649548
699.5403365503588,-0.00048724423724424287,715.1614699331849,0.0012933825433825395,,,737.5713012477718,0.0016426282051282062
707.8148973026479,0.0005447099197099167,715.9347933679783,0.0011315073815073781,,,740.0222816399286,0.0016426282051282062
709.0522147983172,0.001171976171976171,716.5534521158129,0.0008886946386946377,,,741.8048128342245,0.0015758547008547022
